HoleID, From, To, Geology
CA25,       0.00,      39.00, Couches_int
CA26,      40.00,      51.00, Gres_vog2
CA26,      51.00,      85.00, Gres_vog1
FP115,       0.00,       2.00, Quaternary
FP115,       2.00,      23.00, Muschel_sup
O8CCA05,      39.00,      47.00, Gres_vog3
O8CCA05,      47.00,      64.00, Gres_vog2
O8CCA05,      64.00,      72.00, Gres_vog1
O8CCA05,      72.00,      90.00, Gres_vog2
O8CCA05,      90.00,     100.00, Gres_vog1
O8CCA05,     100.00,     141.00, Gres_vog2
O8ECA07,       0.00,       2.00, Quaternary
O8ECA07,       2.00,      13.00, Muschel_sup
O8ECA07,      13.00,      30.00, Muschel_moy
O8ECA08,       0.00,       2.00, Quaternary
O8ECA08,       2.00,      30.00, Muschel_sup
O8ECA10,       0.00,      13.00, Quaternary
O8ECA10,      13.00,      43.00, Gres_vog2
O8ECA10,      43.00,      55.00, Gres_vog1
O8ECA11,       0.00,       9.00, Quaternary
O8ECA11,       9.00,      24.00, Muschel_moy
O8ECA12,       0.00,       2.00, Quaternary
O8ECA12,       2.00,      35.00, Muschel_moy
O8ECA13,       0.00,       3.00, Quaternary
O8ECA13,       3.00,      25.00, Muschel_sup
O8ECA15,       0.00,       2.00, Quaternary
O8ECA15,       2.00,      43.00, Gres_vog2
O8ECA15,      43.00,      50.00, Gres_vog1
O8ECA16,       0.00,       4.00, Quaternary
O8ECA16,       4.00,      21.00, Muschel_moy
O8ECA17,       0.00,       2.00, Quaternary
O8ECA17,       2.00,      38.00, Muschel_moy
O8ECA18,       0.00,       2.00, Quaternary
O8ECA18,       2.00,      21.00, Muschel_sup
O8ECA18,      21.00,      25.00, Muschel_moy
O8ECA19,       0.00,      11.00, Quaternary
O8ECA19,      11.00,      25.00, Muschel_sup
O8ECA21,       0.00,       2.00, Quaternary
O8ECA21,       2.00,      30.00, Muschel_moy
O8ECA23,       0.00,      13.00, Quaternary
O8ECA23,      13.00,      20.00, Muschel_sup
O8EPR09,       0.00,       2.00, Quaternary
O8EPR09,       2.00,      24.00, Muschel_sup
O8EPR14,       0.00,       2.00, Quaternary
O8EPR14,       2.00,      54.00, Muschel_sup
O8EPR20,       0.00,      34.00, Muschel_moy
O8EPR22b,       0.00,      29.00, Muschel_sup
O8EPR24,       0.00,       2.00, Quaternary
O8EPR24,       2.00,      19.00, Muschel_sup
O8WCA02,       0.00,      40.00, Couches_int
O8WCA03,       0.00,      35.00, Couches_int
O8WPR04,       0.00,      39.00, Couches_int
SC101,       0.00,      27.00, Couches_int
SC101,      27.00,      37.00, Conglo
SC101,      37.00,      45.00, Gres_vog2
SC103,       0.00,      50.00, Gres_vog2
SC106,       0.00,       3.00, Quaternary
SC106,       3.00,      13.00, Muschel_sup
SC106,      13.00,      35.00, Muschel_moy
SC106bis,       0.00,       4.00, Quaternary
SC106bis,       4.00,      40.00, Muschel_moy
SC116,       0.00,       2.00, Quaternary
SC116,       2.00,      23.00, Muschel_sup
SC200,       0.00,       2.00, Quaternary
SC200,       2.00,      10.00, Muschel_sup
SC200,      10.00,      41.00, Muschel_moy
SC302,       0.00,      81.00, Couches_int
SC303c,       0.00,      25.00, Couches_int
SC304,       0.00,       4.00, Couches_int
SC304,       4.00,      22.00, Conglo
SC304,      22.00,      40.00, Gres_vog3
SC304,      40.00,      50.00, Gres_vog2
SC306,       0.00,      16.00, Quaternary
SC306,      16.00,      33.00, Muschel_moy
SC307,       0.00,       4.00, Quaternary
SC307,       4.00,      39.00, Muschel_moy
SDC102,      41.00,      52.00, Couches_int
SDC102,      52.00,      70.00, Conglo
SDC102,      70.00,      97.00, Gres_vog3
SDC102,      97.00,     129.00, Gres_vog2
SDC104,      70.00,     101.00, Gres_vog3
SDC104,     101.00,     115.00, Gres_vog2
SDC104,     115.00,     121.00, Gres_vog1
SDC105,      60.00,     129.00, Gres_vog1
SDC107,      50.00,      56.00, Couches_int
SDC107,      56.00,      64.00, Conglo
SDC107,      64.00,      81.00, Gres_vog3
SDC109,      70.00,     100.00, Gres_vog2
SDC109,     100.00,     109.00, Gres_vog1
SDC110,      85.00,     121.00, Gres_vog3
SDC110,     121.00,     141.00, Gres_vog2
SDC303d,      26.00,      43.00, Conglo
SDC303d,      43.00,      45.00, Gres_vog3
SDC304b,      48.00,     104.00, Gres_vog2
SDC304b,     104.00,     109.00, Gres_vog1
